00022;;10;21;33;;;60;72;
5;;22;;44;52;;75;
8;19;;;48;58;;;90
00095;;11;23;31;44;;;;81
;14;;33;;54;66;72;
;;27;36;;58;69;75;
00216;;13;25;;40;50;;70;
;;;31;43;53;;71;82
9;;;35;45;;67;79;
00577;1;;;;40;50;;70;86
;18;;33;;52;;72;88
;19;24;;;56;;73;90
00617;1;;;33;42;;;73;80
;13;23;;44;;62;74;
;;28;;;57;69;79;89
00722;;16;;31;41;52;60;;
8;17;;;47;56;63;;
;18;;;48;57;;76;90
01022;;;21;30;40;;;71;81
;;;34;42;54;;77;86
6;;29;;;55;69;;88
01029;;10;20;;;52;60;;82
;11;22;;44;;63;75;
;;;35;48;58;65;77;
01106;;11;23;;40;56;;77;
3;;24;;43;58;67;;
;16;29;37;48;;;;89
01172;1;;;;42;52;60;71;
;15;;33;;57;67;76;
7;19;24;36;;58;;;
01206;;10;22;30;40;50;;;
5;;26;;;;63;75;86
8;;;38;46;56;;77;
01276;2;;;31;;;66;70;81
3;;21;;41;;68;;85
5;18;;;45;57;;;89
01509;2;;20;36;41;57;;;
;16;22;37;;58;;74;
8;;;38;48;59;;;90
01552;;;21;32;;50;;76;80
;12;;34;44;51;64;;
;;27;39;;57;68;;89
01553;;11;20;;42;;;72;84
;13;;32;;;61;75;86
;18;22;33;46;;;;87
01636;1;;21;;;52;60;72;
6;;;;44;55;;77;89
9;15;27;;48;;68;;
01698;;11;20;34;;;66;;82
;;24;;47;57;68;77;
7;;29;38;;;69;79;
01731;;;;;41;52;64;70;80
5;11;28;;;;66;;85
6;19;;35;;56;;76;
01811;5;10;;;41;;;71;85
;16;;;46;56;64;;87
8;19;29;34;;58;;;
01814;;11;;32;43;50;;;82
;14;23;;44;;62;73;
9;15;29;;;;66;;90
02202;;11;22;32;41;;;71;
5;16;;;;55;;73;86
;17;26;37;44;;;;88
02428;4;10;22;;41;55;;;
5;12;23;;;56;65;;
;19;;39;;57;67;77;
02523;1;12;;;40;;60;71;
4;;;36;;;61;72;89
8;;28;;;59;;79;90
02927;;11;;32;;;60;70;82
;;25;;45;56;61;71;
9;;;39;46;;;76;85
03099;4;;;30;44;;65;73;
;16;23;36;;56;;75;
;17;;37;49;59;69;;
03259;1;;22;32;;50;;;80
5;;25;;;56;66;78;
9;;28;38;;58;;79;
03296;7;10;25;32;;;;;85
8;;27;33;;51;;;87
9;18;29;;;;68;;89
03312;;11;;;;55;60;75;80
;17;24;;46;;64;76;
8;;25;38;49;59;;;
03345;2;10;;;40;54;;;80
;11;28;;;;65;77;81
5;18;;33;;;69;;90
03605;;;20;;40;51;63;73;
;14;;;;54;66;74;85
4;18;29;;45;;;;87
03886;;;;32;40;53;61;71;
;12;;34;;56;63;;86
8;;25;39;;;;75;90
04030;;;25;33;41;53;;71;
;;26;;;56;65;76;88
6;16;;;;59;69;78;
04075;;10;20;;;;63;70;82
;;25;35;;52;66;74;
3;18;;37;;;69;79;
04333;;;21;31;;51;61;;80
4;16;;;45;;64;;87
7;;27;39;;;;79;90
04481;;;23;31;41;50;65;;
7;12;;36;;54;67;;
;17;26;38;47;55;;;
04866;2;;24;31;;53;64;;
;12;;;44;54;65;;88
8;16;;35;;58;;75;
04934;;11;22;31;;51;;73;
7;;;34;44;;64;74;
8;16;;39;;;;75;90
05139;;11;20;31;;;60;72;
6;18;27;32;;;61;;
;;;;48;58;64;78;89
05197;2;12;;31;41;;;;80
5;;;35;44;;63;75;
;;;36;49;59;69;;87
05216;4;;21;30;40;;;;83
;11;;31;;51;68;77;
8;;27;32;47;;;79;
05356;2;;22;31;;51;;;80
7;;24;;;53;66;72;
9;18;28;35;49;;;;
05499;;15;;;42;50;;75;80
;17;27;;44;53;64;;
;18;28;36;;58;;;89
05656;;;;33;40;53;;72;82
7;16;;37;;54;;;84
8;;;39;48;56;;79;
05665;1;12;22;;40;;;;84
5;;;;42;;62;74;88
7;;25;34;;59;;;89
05707;;12;22;31;;50;65;;
4;14;24;;;52;;73;
9;17;;;47;53;;;89
05969;2;12;21;32;;;60;;
4;;22;35;;55;;72;
9;17;;36;48;59;;;
06035;;10;21;31;40;50;;;
;12;;32;;54;66;;87
;19;;;47;56;69;;89
06128;5;12;20;;;51;;;80
8;17;;38;41;;;;82
9;18;26;;;56;;79;
06347;5;;;31;46;;;70;86
7;;;;47;54;68;;87
9;;26;;;;69;79;89
06451;1;10;22;;;50;;71;
7;;23;35;48;54;;;
